"Run ID","Flow","precision","Hyperparameters"
"7393141","mlr.classif.xgboost(9)","1","eta:565158421178507,depth:15,weight:23337680575803,subsample:934263390488923,bytree:26593940705061,bylevel:841264674440026,lambda:00763136040744858,alpha:00180217985452755,nthread:1,nrounds:2733,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7393888","mlr.classif.xgboost(9)","1","eta:436354853444963,depth:3,weight:24352325067087,subsample:904831812717021,bytree:909999235998839,bylevel:196329755941406,lambda:0191424096085721,alpha:00297492278546542,nthread:1,nrounds:810,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7394938","mlr.classif.xgboost(9)","1","eta:0929242894445218,depth:3,weight:30068816204621,subsample:705971014127135,bytree:591837543528527,bylevel:601006721379235,lambda:0444291725541829,alpha:14649240343446,nthread:1,nrounds:4314,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7394973","mlr.classif.xgboost(9)","1","eta:0728063400036193,depth:4,weight:07687121778485,subsample:831984588108025,bytree:88991069723852,bylevel:95585261634551,lambda:0281923066534644,alpha:376731175309839,nthread:1,nrounds:4683,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6295867","mlr.classif.svm(6)","1","cost:65788484218,kernel:polynomial,degree:2,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6296027","mlr.classif.svm(6)","1","cost:905865167134,gamma:134220471436201,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6296028","mlr.classif.svm(6)","1","cost:6342958631026,gamma:236310700013122,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6296310","mlr.classif.svm(6)","1","cost:5034558162378,gamma:227953615195411,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6296740","mlr.classif.svm(6)","1","cost:768660178392,kernel:polynomial,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6296897","mlr.classif.svm(6)","1","cost:576940950037,kernel:polynomial,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
